email_text,actual_label,predicted_label,spam_probability
hello everyone here is your invitation and a map to sandeep ' s home see you saturday,0,1,0.8487280327343679
that ' s us,0,1,0.9624188314234106
wish you were here can ' t believe you got away so fast how ' s your job is it you how ' s meghan sp right bring her to poli ' s party i hope you come write me and let me know how you ' re doing when you can did you buy a house i really miss talking to you and lunch all my lunch partners are gone linda ' s wedding is coming along the wedding is planned for sept escapenumber be here before you know it i hate it that i didn ' t get to say bye to you you were always a pleasure to talk to you always up which is good bye write when you can marilyn regards marilyn rice assistant to linda bujnis director operations and business planning mc escapenumber voice escapenumber escapenumber escapenumber fax escapenumber escapenumber escapenumber marilyn rice compaq com,0,1,0.6807442969065031
full day url,0,1,0.762064702948391
save escapenumber when you use our customer appreciation spring savings certificate at foot locker lady foot locker kids foot locker and at our online stores welcome to our customer appreciation spring savings certificate use the special certificate below and receive escapenumber off your purchases either in our stores or online hurry this escapenumber day sale begins thursday march escapenumber and ends sunday march escapenumber share the savings today and e mail this offer to your friends many items already are reduced and the escapenumber discount is taken off the lowest sale price click below to print your customer appreciation spring savings certificate you must present this coupon at any foot locker lady foot locker or kids foot locker store in the u s foot locker canada is not participating in this program ready set save our spring savings discount will automatically appear when you use the links below or type camlem escapenumber into the promotion code box during checkout footlocker com certificate code camlem escapenumber ladyfootlocker com certificate code camlem escapenumber kidsfootlocker com certificate code camlem escapenumber remember returns are hassle free simply bring your items to any of our stores nationwide or through the mail don ' t be left out register today to learn about our new products promotions events and other specials simply click below terms and conditions some exclusions apply please see manager for complete details certificate must be presented at the time of purchase and cannot be used in conjunction with any other discount offer or associate benefit not redeemable for cash applicable taxes must be paid by bearer cannot be applied to prior purchases or to gift card purchases void where prohibited licensed or regulated catalog exclusions apply valid thursday escapenumber escapenumber escapenumber through sunday escapenumber escapenumber escapenumber foot locker canada will not participate in this program if you do not wish to receive future emails please click below to unsubscribe,0,1,0.9555828417447062
graders usually follow the following guidelines half of the class gets a and above the other half of the class gets b and below instructors seldom ever give grades below b but it happens in rare cases the highest grade possible is a jason,0,1,0.8047667879305234
samantha heather please make the approporate adjustments lv cogen annuity escapenumber escapenumber escapenumber willamette annuity escapenumber escapenumber escapenumber frontier annuity escapenumber escapenumber escapenumber rt share of profit annuity escapenumber escapenumber escapenumber services share of profit les,0,1,0.6774262586269422
overdraft protection what does that really mean if you ' re talking about a checking account it means you won ' t pay a penalty for insufficient funds what about intellectual overdraft protection the penalty is much greater if you have insufficient funds in your mental bank account making frequent visits to resources in the thinkbank is solid protection against intellectual overdraft in resources the thinkbank tellers have put together a list of books and software sort of a knowledge nest egg for you to build on resources we ' ve got your intellectual capital covered,0,1,0.9503850255089864
anything to do with topo gigio a well known french clown a black and white striped t shirt and matching beret air hockey table anything in red leather a silver plaque with the words i had nothing to do with enrononline engraved on it a life size cardboard image of himself to go with the michael jordan a life sized cardboard image of anybody he thinks he looks like an ornately bound englishfrench dictionary more coming,0,1,0.9074695129679323
zaimejlowac do ciebie w dniach escapenumber escapenumber do escapenumber escapenumber bede w usa cel turystyczny do moich znajomych z roku w programie mam wiele glowna baza idahi springs lece z mija corka i kolegami z roku nie znam twojego miejsca zamieszkania ale moze tefon moich znajomych chyba escapenumber escapenumber escapenumber adres e mailowy pzdrawiam zofia grodek oni maja na nazwisko golebiowscy get free email and a permanent address at http www netaddress com n escapenumber,0,1,0.8365386745935508
